Instances,Greedy algorithm,ILP,Genetic algorithm
"brock200_1
|V| = 200
|E| = 14834","|Ds| = 11
weight = 362
T(s) = 0.113","|Ds| = 4
weight = 138.0
T(s) = 0.293","|Ds| = 83
mean = 4148.9
max = 4428
min = 3831
sd = 161.159
mean(T) = 92.374"
"brock200_2
|V| = 200
|E| = 9876","|Ds| = 11
weight = 269
T(s) = 0.074","|Ds| = 6
weight = 153.0
T(s) = 0.221","|Ds| = 83
mean = 3949.3
max = 4129
min = 3766
sd = 136.621
mean(T) = 65.8"
"brock200_3
|V| = 200
|E| = 12048","|Ds| = 16
weight = 465
T(s) = 0.179","|Ds| = 4
weight = 164.0
T(s) = 0.276","|Ds| = 87
mean = 4127.6
max = 4408
min = 3939
sd = 152.291
mean(T) = 77.574"
"brock200_4
|V| = 200
|E| = 13089","|Ds| = 9
weight = 213
T(s) = 0.097","|Ds| = 4
weight = 109.0
T(s) = 0.220","|Ds| = 88
mean = 4053.6
max = 4479
min = 3875
sd = 172.865
mean(T) = 66.122"
"c-fat200-1
|V| = 200
|E| = 1534","|Ds| = 47
weight = 1563
T(s) = 0.093","|Ds| = 19
weight = 743.0
T(s) = 0.032","|Ds| = 85
mean = 4167.6
max = 4604
min = 3837
sd = 221.395
mean(T) = 10.302"
"c-fat200-2
|V| = 200
|E| = 3235","|Ds| = 33
weight = 1019
T(s) = 0.109","|Ds| = 9
weight = 358.0
T(s) = 0.052","|Ds| = 82
mean = 3990.8
max = 4424
min = 3568
sd = 238.982
mean(T) = 18.84"
"c-fat200-5
|V| = 200
|E| = 8473","|Ds| = 20
weight = 541
T(s) = 0.183","|Ds| = 3
weight = 126.0
T(s) = 0.111","|Ds| = 86
mean = 3869.5
max = 4133
min = 3566
sd = 180.416
mean(T) = 51.007"
"p_hat300-1
|V| = 300
|E| = 10933","|Ds| = 29
weight = 925
T(s) = 0.381","|Ds| = 11
weight = 369.0
T(s) = 0.775","|Ds| = 130
mean = 8351.4
max = 13199
min = 5766
sd = 3186.955
mean(T) = 25.758"
"p_hat300-2
|V| = 300
|E| = 21928","|Ds| = 18
weight = 474
T(s) = 0.571","|Ds| = 6
weight = 168.0
T(s) = 0.458","|Ds| = 131
mean = 8586.0
max = 13515
min = 5781
sd = 3247.508
mean(T) = 87.73"
"p_hat300-3
|V| = 300
|E| = 33390","|Ds| = 11
weight = 318
T(s) = 0.512","|Ds| = 4
weight = 149.0
T(s) = 0.550","|Ds| = 131
mean = 6086.7
max = 6367
min = 5741
sd = 200.821
mean(T) = 297.109"
"san200_0.7_1
|V| = 200
|E| = 13930","|Ds| = 13
weight = 346
T(s) = 0.157","|Ds| = 3
weight = 131.0
T(s) = 0.174","|Ds| = 79
mean = 4085.4
max = 4376
min = 3517
sd = 225.72
mean(T) = 78.7"
"san200_0.7_2
|V| = 200
|E| = 13930","|Ds| = 11
weight = 338
T(s) = 0.124","|Ds| = 3
weight = 133.0
T(s) = 0.168","|Ds| = 85
mean = 4290.1
max = 4817
min = 3959
sd = 249.798
mean(T) = 90.862"
"san200_0.9_1
|V| = 200
|E| = 17910","|Ds| = 12
weight = 294
T(s) = 0.164","|Ds| = 2
weight = 69.0
T(s) = 0.210","|Ds| = 79
mean = 3994.6
max = 4396
min = 3490
sd = 252.173
mean(T) = 106.342"
"san200_0.9_2
|V| = 200
|E| = 17910","|Ds| = 10
weight = 295
T(s) = 0.134","|Ds| = 2
weight = 96.0
T(s) = 0.222","|Ds| = 83
mean = 4132.3
max = 4532
min = 3669
sd = 247.508
mean(T) = 94.059"
"san200_0.9_3
|V| = 200
|E| = 17910","|Ds| = 5
weight = 141
T(s) = 0.104","|Ds| = 2
weight = 81.0
T(s) = 0.215","|Ds| = 81
mean = 4021.8
max = 4295
min = 3630
sd = 222.916
mean(T) = 113.335"
"sanr200_0.7
|V| = 200
|E| = 13868","|Ds| = 14
weight = 325
T(s) = 0.173","|Ds| = 4
weight = 108.0
T(s) = 0.246","|Ds| = 90
mean = 3792.0
max = 3996
min = 3599
sd = 126.546
mean(T) = 75.408"
"sanr200_0.9
|V| = 200
|E| = 17863","|Ds| = 10
weight = 305
T(s) = 0.113","|Ds| = 3
weight = 117.0
T(s) = 0.223","|Ds| = 88
mean = 4040.0
max = 4325
min = 3677
sd = 228.227
mean(T) = 105.169"
